标题,开发商,房子信息,发布信息,售价/万,单价
芙蓉花开 3室2厅 南,芙蓉花开 -永宁,3室2厅 | 93.54平米 | 南 | 精装 | 高楼层(共6层) | 2015年建 | 板楼,81人关注 / 9个月以前发布,83.8,"8,959元/平"
老西街122号 3室2厅 西南,老西街122号 -郫县城区,3室2厅 | 91.39平米 | 西南 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 1个月以前发布,38.8,"4,246元/平"
时代晶科名苑 4室2厅 东北,时代晶科名苑 -市一医院,4室2厅 | 152.22平米 | 东北 | 精装 | 中楼层(共23层) | 2013年建 | 板塔结合,28人关注 / 7个月以前发布,458,"30,089元/平"
保利城二期 3室2厅 西南,保利城二期 -大丰,3室2厅 | 91.06平米 | 西南 | 毛坯 | 低楼层(共18层) | 2014年建 | 板楼,6人关注 / 3个月以前发布,116,"12,739元/平"
兴元绿洲一期 3室2厅 西南,兴元绿洲一期 -金府,3室2厅 | 94.57平米 | 西南 | 简装 | 低楼层(共22层) | 2007年建 | 板楼,4人关注 / 4个月以前发布,118,"12,478元/平"
东原亲亲里 2室2厅 东北,东原亲亲里 -国宾,2室2厅 | 77.38平米 | 东北 | 精装 | 中楼层(共19层) | 2015年建 | 塔楼,12人关注 / 1个月以前发布,130,"16,801元/平"
清江别韵 3室2厅 东北,清江别韵 -郫县城区,3室2厅 | 110.42平米 | 东北 | 简装 | 高楼层(共26层) | 2000年建 | 塔楼,18人关注 / 7个月以前发布,82.5,"7,472元/平"
德坤竹韵坊 3室2厅 南,德坤竹韵坊 -温江老城,3室2厅 | 88.39平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板塔结合,7人关注 / 10个月以前发布,82,"9,278元/平"
柏林河畔 3室2厅 东北,柏林河畔 -郫县城区,3室2厅 | 106平米 | 东北 | 精装 | 低楼层(共6层)  | 板楼,8人关注 / 6个月以前发布,60,"5,661元/平"
中德麓府 3室2厅 东,中德麓府 -麓山,3室2厅 | 89.86平米 | 东 | 毛坯 | 高楼层(共32层) | 2018年建 | 板塔结合,15人关注 / 4个月以前发布,179,"19,920元/平"
华邑阳光里 3室2厅 西南 东北,华邑阳光里 -犀浦,3室2厅 | 93.26平米 | 西南 东北 | 精装 | 中楼层(共8层) | 2015年建 | 板楼,0人关注 / 1个月以前发布,165,"17,693元/平"
那城 3室2厅 南,那城 -温江老城,3室2厅 | 136.49平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 塔楼,4人关注 / 9个月以前发布,125,"9,159元/平"
星河小区 3室1厅 南,星河小区 -西南交大,3室1厅 | 64.63平米 | 南 | 精装 | 中楼层(共7层) | 1998年建 | 板楼,81人关注 / 7个月以前发布,76,"11,760元/平"
芙蓉田园 3室2厅 东,芙蓉田园 -永宁,3室2厅 | 98.82平米 | 东 | 毛坯 | 中楼层(共26层) | 2015年建 | 塔楼,4人关注 / 5个月以前发布,91,"9,209元/平"
传化国际新城 3室1厅 东南,传化国际新城 -毗河,3室1厅 | 80.53平米 | 东南 | 精装 | 中楼层(共9层) | 2015年建 | 板楼,0人关注 / 2个月以前发布,102,"12,667元/平"
盛源学府名城 3室1厅 东南,盛源学府名城 -犀浦,3室1厅 | 89.67平米 | 东南 | 毛坯 | 高楼层(共28层)  | 板塔结合,25人关注 / 一年前发布,98,"10,929元/平"
佳乐国际城二期 3室2厅 东北,佳乐国际城二期 -毗河,3室2厅 | 99.59平米 | 东北 | 精装 | 高楼层(共32层) | 2015年建 | 塔楼,7人关注 / 4个月以前发布,115,"11,548元/平"
西安北路87号 3室1厅 南,西安北路87号 -通惠门,3室1厅 | 87.83平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 12天以前发布,103.5,"11,785元/平"
恒大西锦城 3室2厅 东南,恒大西锦城 -国宾,3室2厅 | 112.23平米 | 东南 | 精装 | 高楼层(共29层) | 2013年建 | 塔楼,0人关注 / 1个月以前发布,219,"19,514元/平"
置信学府杏林一期 3室2厅 南,置信学府杏林一期 -永宁,3室2厅 | 121.47平米 | 南 | 精装 | 高楼层(共18层) | 2013年建 | 板塔结合,58人关注 / 一年前发布,119,"9,797元/平"
锦江城市花园二期 3室1厅 西南,锦江城市花园二期 -三圣乡,3室1厅 | 71.92平米 | 西南 | 精装 | 中楼层(共34层) | 2010年建 | 板塔结合,80人关注 / 5个月以前发布,123.9,"17,228元/平"
中冶中央公园 3室2厅 西南,中冶中央公园 -郫县城区,3室2厅 | 78.63平米 | 西南 | 毛坯 | 低楼层(共31层) | 2019年建 | 板塔结合,4人关注 / 4个月以前发布,70.6,"8,979元/平"
中铁西城东苑 3室2厅 南,中铁西城东苑 -外光华,3室2厅 | 89.43平米 | 南 | 精装 | 高楼层(共18层) | 2012年建 | 塔楼,70人关注 / 8个月以前发布,255,"28,514元/平"
派克公馆 4室2厅 东北,派克公馆 -成外,4室2厅 | 175.46平米 | 东北 | 精装 | 低楼层(共18层) | 2011年建 | 板塔结合,2人关注 / 1个月以前发布,205,"11,684元/平"
中铁奥维尔二期 3室2厅 东,中铁奥维尔二期 -郫县城区,3室2厅 | 79.31平米 | 东 | 精装 | 21层 | 2019年建 | 塔楼,27人关注 / 5个月以前发布,79.8,"10,062元/平"
华润凯旋天地 3室1厅 东南,华润凯旋天地 -川师,3室1厅 | 78.3平米 | 东南 | 简装 | 低楼层(共26层) | 2015年建 | 板塔结合,20人关注 / 8个月以前发布,188,"24,011元/平"
万科朗润园 3室2厅 东南,万科朗润园 -光华大道沿线,3室2厅 | 121.78平米 | 东南 | 毛坯 | 高楼层(共33层) | 2007年建 | 板塔结合,26人关注 / 6个月以前发布,155,"12,728元/平"
保利堂悦 4室2厅 东北,保利堂悦 -茶店子,4室2厅 | 135.69平米 | 东北 | 精装 | 低楼层(共30层) | 2019年建 | 板塔结合,4人关注 / 3个月以前发布,435,"32,059元/平"
营通街181号 3室2厅 南,营通街181号 -抚琴小区,3室2厅 | 82.75平米 | 南 | 精装 | 高楼层(共7层) | 2000年建 | 板楼,10人关注 / 3个月以前发布,88,"10,635元/平"
润弘铭城 3室2厅 东南,润弘铭城 -郫县城区,3室2厅 | 128平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板楼,8人关注 / 4个月以前发布,77.6,"6,063元/平"
百花正街42号 3室1厅 南,百花正街42号 -双楠,3室1厅 | 85.37平米 | 南 | 简装 | 7层 | 1999年建 | 板楼,10人关注 / 3个月以前发布,95,"11,129元/平"
上海花园(高新) 3室2厅 东南,上海花园(高新) -神仙树,3室2厅 | 160.33平米 | 东南 | 精装 | 低楼层(共13层) | 2006年建 | 板楼,3人关注 / 8天以前发布,298,"18,587元/平"
御岭春天三期 3室1厅 东南,御岭春天三期 -航天,3室1厅 | 104平米 | 东南 | 精装 | 低楼层(共28层) | 2015年建 | 板塔结合,23人关注 / 5个月以前发布,120,"11,539元/平"
龙湖金楠天街 3室1厅 东北,龙湖金楠天街 -五大花园,3室1厅 | 89.72平米 | 东北 | 简装 | 高楼层(共24层) | 2015年建 | 塔楼,0人关注 / 11天以前发布,200,"22,292元/平"
恒大翡翠华庭 3室2厅 北,恒大翡翠华庭 -万家湾,3室2厅 | 88.88平米 | 北 | 精装 | 高楼层(共22层) | 2017年建 | 塔楼,5人关注 / 2个月以前发布,210,"23,628元/平"
建工紫荆城2期 3室2厅 东南,建工紫荆城2期 -都江堰,3室2厅 | 123.46平米 | 东南 | 毛坯 | 低楼层(共12层) | 2015年建 | 板塔结合,0人关注 / 9天以前发布,86,"6,966元/平"
锦江国际花园 3室2厅 东北,锦江国际花园 -川师,3室2厅 | 84平米 | 东北 | 精装 | 高楼层(共34层) | 2016年建 | 塔楼,15人关注 / 5个月以前发布,177.8,"21,167元/平"
世茂城四期 3室2厅 西,世茂城四期 -大面,3室2厅 | 81.64平米 | 西 | 精装 | 低楼层(共34层)  | 塔楼,1人关注 / 1个月以前发布,149,"18,251元/平"
德商御璟天骄 4室2厅 南,德商御璟天骄 -中德,4室2厅 | 147.38平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,54人关注 / 4个月以前发布,440,"29,855元/平"
驿都城 3室2厅 西,驿都城 -龙泉驿城区,3室2厅 | 79.52平米 | 西 | 简装 | 高楼层(共32层) | 2016年建 | 塔楼,30人关注 / 5个月以前发布,118,"14,840元/平"
空港晶座 3室2厅 南 北,空港晶座 -航空港,3室2厅 | 106.55平米 | 南 北 | 精装 | 中楼层(共24层) | 2012年建 | 板楼,10人关注 / 2个月以前发布,135,"12,671元/平"
金辉悦府 3室2厅 东北,金辉悦府 -高新西,3室2厅 | 87.65平米 | 东北 | 精装 | 低楼层(共18层) | 2015年建 | 塔楼,35人关注 / 6个月以前发布,99.8,"11,387元/平"
西花汀 3室2厅 东北,西花汀 -珠江新城,3室2厅 | 141.68平米 | 东北 | 毛坯 | 低楼层(共22层) | 2008年建 | 塔楼,53人关注 / 一年前发布,158,"11,152元/平"
华银美景 3室1厅 南,华银美景 -华府,3室1厅 | 89.18平米 | 南 | 简装 | 高楼层(共18层) | 2010年建 | 板塔结合,13人关注 / 4个月以前发布,151,"16,933元/平"
蓝润蓝客城 3室1厅 南,蓝润蓝客城 -动物园,3室1厅 | 83.47平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,44人关注 / 4个月以前发布,144,"17,252元/平"
瑞安城中汇 3室2厅 西北 东北,瑞安城中汇 -金牛万达,3室2厅 | 133.28平米 | 西北 东北 | 精装 | 高楼层(共27层) | 2015年建 | 塔楼,51人关注 / 10个月以前发布,310,"23,260元/平"
柳城印象 3室2厅 西南,柳城印象 -温江新城,3室2厅 | 86.82平米 | 西南 | 精装 | 中楼层(共18层) | 2012年建 | 板塔结合,3人关注 / 5个月以前发布,100,"11,519元/平"
光华国际 3室1厅 东南,光华国际 -温江新城,3室1厅 | 104.33平米 | 东南 | 简装 | 高楼层(共32层) | 2013年建 | 板塔结合,8人关注 / 1个月以前发布,139,"13,324元/平"
宝源驷马城 3室2厅 北,宝源驷马城 -李家沱,3室2厅 | 95.39平米 | 北 | 简装 | 中楼层(共18层) | 2008年建 | 塔楼,6人关注 / 1个月以前发布,150,"15,725元/平"
鲁能公馆1区 3室2厅 北 南,鲁能公馆1区 -万年场,3室2厅 | 94平米 | 北 南 | 毛坯 | 高楼层(共32层) | 2017年建 | 板塔结合,301人关注 / 一年前发布,228,"24,256元/平"
三合嘉苑 3室2厅 东南,三合嘉苑 -毗河,3室2厅 | 95.36平米 | 东南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,90,"9,438元/平"
蓝光花满庭一期 3室2厅 西,蓝光花满庭一期 -五块石,3室2厅 | 86.74平米 | 西 | 简装 | 高楼层(共21层) | 2009年建 | 板塔结合,8人关注 / 3个月以前发布,140,"16,141元/平"
宏达世纪丽景 3室2厅 南,宏达世纪丽景 -九龙湖,3室2厅 | 87.43平米 | 南 | 精装 | 14层  | 板塔结合,0人关注 / 1个月以前发布,158,"18,072元/平"
枫祥苑 3室2厅 东,枫祥苑 -东郊记忆,3室2厅 | 89.49平米 | 东 | 简装 | 中楼层(共18层) | 2008年建 | 板塔结合,37人关注 / 4个月以前发布,143,"15,980元/平"
万隆花园 3室2厅 西南,万隆花园 -马鞍路,3室2厅 | 133.49平米 | 西南 | 简装 | 高楼层(共7层) | 2000年建 | 板楼,4人关注 / 7个月以前发布,109,"8,166元/平"
龙湖三千庭 4室2厅 南,龙湖三千庭 -大面,4室2厅 | 97.32平米 | 南 | 毛坯 | 中楼层(共34层) | 2015年建 | 板塔结合,140人关注 / 10个月以前发布,180,"18,496元/平"
东洪广厦 3室1厅 东北,东洪广厦 -三圣乡,3室1厅 | 89.69平米 | 东北 | 精装 | 低楼层(共32层) | 2012年建 | 板塔结合,9人关注 / 2个月以前发布,156,"17,394元/平"
中海右岸一期 3室2厅 东南,中海右岸一期 -华府,3室2厅 | 102.2平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,64人关注 / 一年前发布,215,"21,038元/平"
红树湾 3室2厅 南,红树湾 -中和,3室2厅 | 128.36平米 | 南 | 简装 | 低楼层(共24层) | 2010年建 | 板塔结合,42人关注 / 一年前发布,208,"16,205元/平"
鹭岛国际一二期 3室2厅 南,鹭岛国际一二期 -外双楠,3室2厅 | 128.06平米 | 南 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,36人关注 / 4个月以前发布,294,"22,958元/平"
文化路90号院 3室1厅 西,文化路90号院 -温江老城,3室1厅 | 139.9平米 | 西 | 简装 | 低楼层(共3层)  | 暂无数据,14人关注 / 4个月以前发布,59,"4,218元/平"
海伦天麓 3室2厅 西,海伦天麓 -麓山,3室2厅 | 106.43平米 | 西 | 精装 | 中楼层(共32层)  | 塔楼,10人关注 / 5个月以前发布,233,"21,893元/平"
西财学府憬城 4室2厅 东南,西财学府憬城 -温江大学城,4室2厅 | 118.28平米 | 东南 | 简装 | 低楼层(共26层) | 2014年建 | 塔楼,5人关注 / 1个月以前发布,127,"10,738元/平"
华阳滨河花园 3室1厅 东南,华阳滨河花园 -华阳,3室1厅 | 135.1平米 | 东南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,12人关注 / 一年前发布,185,"13,694元/平"
长融一代天骄 2室2厅 北,长融一代天骄 -万年场,2室2厅 | 81.99平米 | 北 | 精装 | 中楼层(共11层) | 2007年建 | 板塔结合,5人关注 / 1个月以前发布,129,"15,734元/平"
金沙城锦西观棠 3室2厅 东北,金沙城锦西观棠 -外金沙,3室2厅 | 110.46平米 | 东北 | 毛坯 | 中楼层(共21层) | 2018年建 | 塔楼,6人关注 / 1个月以前发布,292,"26,435元/平"
蓝光花满庭一期 3室2厅 西,蓝光花满庭一期 -五块石,3室2厅 | 86.74平米 | 西 | 简装 | 高楼层(共21层) | 2009年建 | 板塔结合,8人关注 / 3个月以前发布,140,"16,141元/平"
柳城印象 3室2厅 西南,柳城印象 -温江新城,3室2厅 | 86.82平米 | 西南 | 精装 | 中楼层(共18层) | 2012年建 | 板塔结合,3人关注 / 5个月以前发布,100,"11,519元/平"
光华国际 3室1厅 东南,光华国际 -温江新城,3室1厅 | 104.33平米 | 东南 | 简装 | 高楼层(共32层) | 2013年建 | 板塔结合,8人关注 / 1个月以前发布,139,"13,324元/平"
三合嘉苑 3室2厅 东南,三合嘉苑 -毗河,3室2厅 | 95.36平米 | 东南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,90,"9,438元/平"
鲁能公馆1区 3室2厅 北 南,鲁能公馆1区 -万年场,3室2厅 | 94平米 | 北 南 | 毛坯 | 高楼层(共32层) | 2017年建 | 板塔结合,301人关注 / 一年前发布,228,"24,256元/平"
洲际春天广场 3室2厅 东南,洲际春天广场 -光华大道沿线,3室2厅 | 71.65平米 | 东南 | 精装 | 中楼层(共31层)  | 板塔结合,3人关注 / 3个月以前发布,111,"15,492元/平"
东福家苑 3室1厅 南,东福家苑 -东升镇,3室1厅 | 137.44平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,1人关注 / 1个月以前发布,125,"9,095元/平"
府河音乐花园 4室2厅 东南,府河音乐花园 -华阳,4室2厅 | 167.93平米 | 东南 | 精装 | 中楼层(共6层) | 2001年建 | 板塔结合,108人关注 / 一年前发布,233,"13,875元/平"
锦城名都 3室1厅 东南 东北,锦城名都 -营门口,3室1厅 | 111.9平米 | 东南 东北 | 精装 | 中楼层(共33层) | 2009年建 | 板塔结合,11人关注 / 3个月以前发布,215,"19,214元/平"
皇冠湖壹号 3室2厅 东北,皇冠湖壹号 -龙泉驿城区,3室2厅 | 98.31平米 | 东北 | 精装 | 低楼层(共33层) | 2018年建 | 塔楼,31人关注 / 5个月以前发布,188,"19,124元/平"
光华碧邻 3室2厅 南,光华碧邻 -外光华,3室2厅 | 91.29平米 | 南 | 精装 | 低楼层(共21层) | 2013年建 | 塔楼,2人关注 / 1个月以前发布,215,"23,552元/平"
宝源驷马城 3室2厅 北,宝源驷马城 -李家沱,3室2厅 | 95.39平米 | 北 | 简装 | 中楼层(共18层) | 2008年建 | 塔楼,6人关注 / 1个月以前发布,150,"15,725元/平"
光华国际 3室2厅 西南,光华国际 -温江新城,3室2厅 | 105.97平米 | 西南 | 简装 | 中楼层(共32层) | 2013年建 | 板塔结合,18人关注 / 6个月以前发布,136,"12,834元/平"
华银美景 3室1厅 南,华银美景 -华府,3室1厅 | 89.18平米 | 南 | 简装 | 高楼层(共18层) | 2010年建 | 板塔结合,13人关注 / 4个月以前发布,151,"16,933元/平"
恒大翡翠华庭 3室2厅 北,恒大翡翠华庭 -万家湾,3室2厅 | 88.88平米 | 北 | 精装 | 高楼层(共22层) | 2017年建 | 塔楼,5人关注 / 2个月以前发布,210,"23,628元/平"
德商御璟天骄 4室2厅 南,德商御璟天骄 -中德,4室2厅 | 147.38平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,54人关注 / 4个月以前发布,440,"29,855元/平"
蓝润蓝客城 3室1厅 南,蓝润蓝客城 -动物园,3室1厅 | 83.47平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,44人关注 / 4个月以前发布,144,"17,252元/平"
首信汇 3室2厅 南,首信汇 -簇桥,3室2厅 | 93平米 | 南 | 精装 | 低楼层(共14层) | 2014年建 | 板楼,4人关注 / 1个月以前发布,185,"19,893元/平"
人居都市阳光 3室2厅 西南,人居都市阳光 -蛟龙港,3室2厅 | 135.58平米 | 西南 | 精装 | 高楼层(共18层) | 2010年建 | 板塔结合,33人关注 / 10个月以前发布,162,"11,949元/平"
文家巷18号 3室1厅 东南,文家巷18号 -沙湾,3室1厅 | 78平米 | 东南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,33人关注 / 6个月以前发布,88,"11,283元/平"
泰华锦城 3室2厅 西南,泰华锦城 -大面,3室2厅 | 97.01平米 | 西南 | 简装 | 低楼层(共33层)  | 板塔结合,11人关注 / 7个月以前发布,119.9,"12,360元/平"
保利叶语 3室2厅 东,保利叶语 -华府,3室2厅 | 79.37平米 | 东 | 精装 | 低楼层(共24层) | 2015年建 | 板塔结合,1人关注 / 2个月以前发布,170,"21,419元/平"
世茂玉锦湾二期 3室2厅 西南,世茂玉锦湾二期 -猛追湾,3室2厅 | 127.3平米 | 西南 | 精装 | 高楼层(共56层) | 2016年建 | 板塔结合,209人关注 / 一年前发布,390,"30,637元/平"
龙湖金楠天街 3室1厅 西南,龙湖金楠天街 -五大花园,3室1厅 | 89.76平米 | 西南 | 精装 | 低楼层(共24层) | 2015年建 | 塔楼,2人关注 / 5个月以前发布,202,"22,505元/平"
